"NO","名　　　　称","緯度","経度","住所","面積（�u）","面積（ha）","一時緊急　　　避難地","ブランコ _2連 ","ブランコ_3連","ブランコ_4連","スベリ台","低鉄棒_１連","低鉄棒_２連","低鉄棒_３連","低鉄棒_４連","低鉄棒_５連","シーソー","ジャングルジム","複合遊具_鋼製","砂場","ラダー","健康遊具","ﾌﾟﾚｲｽｶﾙﾌﾟﾁｬｰ","便所","水飲","ベンチ","四阿・ｼｪﾙﾀｰ","駐車場有料施設専用","駐車場","桜_ソメイヨシノ","桜_オオシマザクラ","桜_カンヒザクラ","桜_シダレザクラ","桜_カワズザクラ　","桜_ヤマザクラ","桜_その他","桜_合計","桜_その他品種","景色の良い公園"
"108","出口北公園","34.80322447","135.6209232","枚方市出口２丁目２７−１０","1391.98","0.139","","","","1","","","","","","","","1","1","1","","","1","","1","5","","","","2","0","0","0","0","0","0","2","",""
"109","出口西公園","34.80217933","135.6208361","大阪府枚方市出口６丁目１","983.58","0.098","","","","1","1","","","3","","","","","","1","","","","","1","3","","","","17","0","0","0","0","0","0","17","",""
"110","出口ふれあい公園","34.80307135","135.6267714","枚方市出口２丁目１−１６","6461.47","0.646","","1","","","1","","","1","","","","","","1","2","","","1","2","24","1","","","14","2","0","0","0","0","2","18","ヤエザクラ",""
"111","天満公園","34.86665552","135.6913309","枚方市楠葉丘２丁目１３","6714.47","0.671","","","","1","1","1","1","","","","","","","","","","2","1","1","6","","","","8","0","0","0","0","0","1","9","ヤエザクラ",""
"112","東部公園","34.80132991","135.745787","枚方市尊延寺（大字）２９８７","34000","3.4","","","","","","","","","","","","","2","","","7","","2","","","3","1","","0","0","0","0","0","0","65","65","","○"
"113","堂ノ背公園","34.80974314","135.7196995","枚方市杉１丁目３１−１","6193.81","0.619","","1","","","1","","1","","","","","","","1","","","","1","1","5","1","","","21","0","0","5","0","0","0","26","","○"
"114","堂山公園","34.81767611","135.6704285","枚方市堂山１丁目２２−４","16876.91","1.688","○","","","1","1","","","1","","","","","","1","","","3","1","1","32","3","","","30","0","0","0","0","0","0","30","",""
"115","長尾大池公園","34.82556246","135.7162333","枚方市長尾東町１丁目３３−５","589.69","0.059","","","","1","1","","","","","","","","","","","","","","1","2","","","","3","0","0","0","0","0","0","3","",""
"116","長尾台大谷公園","34.81681039","135.7171059","枚方市長尾台３丁目２８−２６","3010.26","0.301","","","","1","1","","","","","","","","","1","","","","","","5","","","","1","0","0","0","0","0","2","3","ヤエザクラ",""
"117","長尾台亀谷公園","34.82055121","135.7205302","枚方市長尾台４丁目１２−５","1516.05","0.152","","","","","","","","","","","","","","","","","","","","","","","","2","0","0","0","0","1","0","3","",""
"118","長尾台北公園","34.82117389","135.7168685","枚方市長尾台１丁目６−１７","1031.69","0.103","","","","1","1","","","","1","","","","","1","","","","","1","2","","","","13","0","0","0","0","3","0","16","",""
"119","長尾台東公園","34.81940465","135.7182962","枚方市長尾台２丁目２２−７","1044.52","0.104","","","","1","1","","","1","","","","","","1","","","","","1","3","","","","0","0","0","0","0","0","4","4","ヤエザクラ",""
"120","長尾台南公園","34.81842135","135.7166268","枚方市長尾台２丁目６−３","1045.85","0.105","","","","1","1","","1","","","","","1","","1","","","","","1","7","","","","4","0","0","0","0","3","0","7","",""
"121","長尾谷町公園","34.82420175","135.7027031","枚方市長尾谷町３丁目２０−８","1130.56","0.113","","1","","","1","","1","","","","1","","","1","","","","","1","1","","","","16","0","0","0","0","0","0","16","",""
"122","長尾西町公園","34.83162137","135.6995521","枚方市長尾西町１丁目４−３９","714.92","0.071","","1","","","1","","","","","","1","","","1","","","","","1","4","","","","","","","","","","","","",""
"123","長尾東公園","34.82541546","135.7227147","枚方市長尾東町３丁目１８−１７","524.41","0.052","","","","","","","","","","","","","1","","","","","","1","5","1","","","","","","","","","","","",""
"124","長尾元町公園","34.83019936","135.706721","枚方市長尾元町３丁目５７−３２","1640.54","0.164","","","","1","1","","","1","","","1","","","1","","2","3","","1","7","","","","","","","","","","","","",""
"125","中の池公園","34.8476097","135.6902535","枚方市東山２丁目４５","40071.87","4.007","○","","","1","1","","","","","","1","","","1","","","","1","1","7","1","1","","27","6","1","0","0","0","3","37","ｵｵﾔﾏｻﾞｸﾗ",""
"126","中の谷公園","34.85045399","135.6901284","枚方市東山１丁目４１−６","2449.28","0.245","","","","1","1","","","","","","","1","","1","","","","","1","7","","","","","","","","","","","","",""
"127","中振中央公園","34.79424459","135.6353977","枚方市南中振１丁目４１−２","1200.00","0.12","","1","","","1","","1","","","","","","","1","","","","","","2","","","","11","0","0","0","0","0","1","12","",""
