NO,名　　　　称,緯度,経度,所在地,面積（㎡）,面積（ha）,一時緊急　　　避難地,ブランコ _2連 ,ブランコ_3連,ブランコ_4連,スベリ台,低鉄棒_１連,低鉄棒_２連,低鉄棒_３連,低鉄棒_４連,低鉄棒_５連,シーソー,ジャングルジム,複合遊具_鋼製,砂場,ラダー,健康遊具,ﾌﾟﾚｲｽｶﾙﾌﾟﾁｬｰ,便所,水飲,ベンチ,四阿・ｼｪﾙﾀｰ,駐車場有料施設専用,駐車場,桜_ソメイヨシノ,桜_オオシマザクラ,桜_カンヒザクラ,桜_シダレザクラ,桜_カワズザクラ　,桜_ヤマザクラ,桜_その他,桜_合計,桜_その他品種,景色の良い公園
92,杉山手中央公園,34.81548027,135.7230984,杉山手３丁目８９８－７,"1,406.66",0.141,,,,,,,1,,,,,,1,,,,,,1,3,,,,,,,,,,,,,
93,杉山手西公園,34.81884722,135.7219993,杉山手１丁目,944.31,0.094,,1,,,1,,,,,,,,,1,1,,,,1,3,,,,,,,,,,,,,
94,杉山手南公園,34.81460602,135.7224329,杉山手３丁目,"1,500.00",0.15,,,,1,1,,,,,,,1,,1,1,,,,1,11,,,,4,0,0,0,0,0,0,4,,
95,須山中央公園,34.82151374,135.67175,須山町５５,909.78,0.091,,,,1,1,,,,,,,,,1,,,,,1,5,,,,14,0,0,0,0,0,0,14,,
96,須山公園,34.82152014,135.6717505,須山町１８,1.201.22,0.12,,2,,,1,,,1,,,,1,,,1,,,,1,5,,,,0,0,0,0,1,0,0,1,,
97,創造の森,34.79046992,135.6370984,香里園山之手町,"4,584.11",0.458,,,,,,,,,,,,,,,,,,,,2,,,,10,0,0,1,0,0,0,11,,
98,宗谷公園,34.79770293,135.7369251,宗谷２丁目,"1,141.75",0.114,,,,,1,,1,,,,,,,1,,,1,,1,9,,,,,,,,,,,,,
99,宗谷穂谷防災公園,34.79588538,135.7347132,宗谷２丁目２６番,464.18,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○
100,尊延寺公園,34.80011737,135.7281665,尊延寺５丁目,935.63,0.094,,1,,,1,,1,,,,,,,1,,,,,1,13,1,,,,,,,,,,,,
101,空見の丘公園,34.80397124,135.7118159,津田山手町,"10,400.06",1.04,○,,,,,,,,,,,,,,,,,,1,6,2,,,8,12,0,0,0,16,1,37,,○
