"id","name","name_kana","address","area","area_ha","y","x","is_evacuation_area","ブランコ_2","ブランコ_3","ブランコ_4","すべり台","鉄棒_1","鉄棒_2","鉄棒_3","鉄棒_4","鉄棒_5","シーソー","ジャングルジム","鋼製複合遊具","砂場","ラダー","健康遊具","プレイスカルプチャー(遊戯彫刻)","便所","水飲場","ベンチ","四阿(シェルター)","有料駐車場","無料駐車場","ソメイヨシノ","オオシマザクラ","カンヒザクラ","シダレザクラ","カワズザクラ","ヤマザクラ","桜_その他","桜_合計","桜_その他_品種","is_nice_scenery","english_name","english_address","",""
"055","楠葉中町西公園","クズハナカマチニシコウエン","大阪府枚方市楠葉中町26−10","842.39","0.08","34.86915472","135.6800425","","1","","","1","","","","","","1","","","1","","","","","1","3","","","","","","","","","","","","","","","","573-1107","オオサカフ－ヒラカタシ－クズハナカマチ"
"056","楠葉中町東公園","クズハナカマチヒガシコウエン","大阪府枚方市楠葉中町67−4","601.93","0.06","34.86802615","135.6828279","","1","","","","","","","","","1","","","1","","","","","1","3","","","","3","0","0","0","0","0","0","3","","","","","573-1107","オオサカフ－ヒラカタシ－クズハナカマチ"
"057","楠葉東公園","クズハヒガシコウエン","大阪府枚方市楠葉朝日3丁目14番","26,716.87","2.67","34.86072875","135.6918169","○","","","1","2","","","","","","1","","","1","1","","3","1","2","38","","","","98","0","1","2","0","0","2","103","ヤエザクラ","","","","573-1111","オオサカフ－ヒラカタシ－クズハアサヒ"
"058","百済寺跡公園","クダラジアトコウエン","大阪府枚方市中宮西之町1−30","21,638.36","2.16","34.81569279","135.6607627","○","1","","","1","","1","","","","1","","","","1","","","1","1","11","","","","28","0","0","0","0","0","0","28","","","","","573-0021","オオサカフ－ヒラカタシ－ナカミヤニシノチョウ"
"059","くにみの丘公園","クニミノオカコウエン","大阪府枚方市津田山手1丁目15−12","13,631.44","1.36","34.80780408","135.7099953","○","","","","","","","","","","","","1","","","","","1","1","7","1","","","12","0","0","0","0","0","7","19","サトザクラ","○","","","573-0128","オオサカフ－ヒラカタシ－ツダヤマテ"
"060","車谷公園","クルマダニコウエン","大阪府枚方市長尾家具町2丁目3−19","5,537.17","0.55","34.84486006","135.7090602","","","","1","","","","","","","","","2","1","","","","1","1","3","","","","31","0","0","0","0","0","0","31","","","","","573-0102","オオサカフ－ヒラカタシ－ナガオカグマチ"
"061","車塚公園","クルマヅカコウエン","大阪府枚方市小倉東町40−1","50,164.51","5.02","34.8335464","135.6690309","○","","","","1","","","","","","","","","1","","9","","1","2","25","2","","3","27","15","3","8","28","0","1","82","淡墨桜","","","","573-1174","オオサカフ－ヒラカタシ－オグラヒガシマチ"
"062","桑ヶ谷公園","クワガタニコウエン","大阪府枚方市香里ケ丘1丁目4−2","12,066.89","1.21","34.79585598","135.6594299","○","","","","","","","","","","","","","","","","","","","2","","","","5","0","0","0","0","0","0","5","","","","","573-0084","オオサカフ－ヒラカタシ－コウリガオカ"
"063","けやき坂公園","ケヤキザカコウエン","大阪府枚方市長尾谷町2丁目525","1,860.03","0.19","34.82529551","135.7019713","","","","1","1","","","","","","","","","1","","","1","","1","6","","","","0","0","0","0","0","10","0","10","","","","","573-0164","オオサカフ－ヒラカタシ－ナガオタニマチ"
"064","甲須公園","コウスコウエン","大阪府枚方市甲斐田新町21−14","2,674.80","0.27","34.82079531","135.6760639","","","","","1","","","","","","","1","","1","","","","","1","5","2","","","4","0","0","0","0","0","0","4","","","","","573-1163","オオサカフ－ヒラカタシ－カイダシンマチ"
"065","交北北公園","コウホクキタコウエン","大阪府枚方市交北3丁目10−5","733.44","0.07","34.83045842","135.682009","","","","","1","","","","","","","","","","","","","","1","5","","","","","","","","","","","","","","","","573-1161","オオサカフ－ヒラカタシ－コウホク"
"066","交北公園","コウホクコウエン","大阪府枚方市交北4丁目560−2","31,746.00","3.17","34.8285473","135.6812548","○","","","","2","","","","","","","","2","2","","7","","1","1","52","3","","","49","0","0","2","0","9","0","60","","○","","","573-1161","オオサカフ－ヒラカタシ－コウホク"
"067","高野道公園","コウヤミチコウエン","大阪府枚方市高野道2丁目20 東高野街道","579.65","0.06","34.8508206","135.7018691","","","","","1","","","1","","","","","","1","","","","","1","2","","","","0","0","0","0","0","0","6","6","ヤエザクラ","","","","573-1131","オオサカフ－ヒラカタシ－コウヤミチ"
"068","高野道東公園","コウヤミチヒガシコウエン","大阪府枚方市高野道2丁目34−26","999.41","0.10","34.84713223","135.6991303","","1","","","1","","","1","","","","","","","","","2","","1","4","","","","3","0","0","0","0","0","0","3","","","","","573-1131","オオサカフ－ヒラカタシ－コウヤミチ"
"069","高野道南公園","コウヤミチミナミコウエン","大阪府枚方市高野道2丁目43−2","2,038.81","0.20","34.84846889","135.6992095","","1","","","2","","1","","","","","2","","1","","","","1","2","13","","","","","","","","","","","","","","","","573-1131","オオサカフ－ヒラカタシ－コウヤミチ"
"070","香陽北公園","コウヨウキタコウエン","大阪府枚方市香里ケ丘11丁目35−52","1,125.48","0.11","34.78756643","135.653107","","","","","1","","","1","","","","1","","1","","","","","","3","","","","","","","","","","","","","","","","573-0084","オオサカフ－ヒラカタシ－コウリガオカ"
"071","香陽公園","コウヨウコウエン","大阪府枚方市香里ケ丘11丁目20−39","784.28","0.08","34.78599648","135.6513289","","","","","1","","","1","","","","1","","1","","","","","","4","","","","3","0","0","0","0","0","0","3","","","","","573-0084","オオサカフ－ヒラカタシ－コウリガオカ"
"072","香里ヶ丘南公園","コウリガオカコウエン","大阪府枚方市香里ケ丘10丁目3735−12","19,830.50","1.98","34.7860374","135.6453645","","","","1","1","","","1","","","1","1","","","","","","","1","4","","","","53","0","0","0","0","0","0","53","","","","","573-0084","オオサカフ－ヒラカタシ－コウリガオカ"
"073","香里ヶ丘中央公園","コウリガオカチュウオウコウエン","大阪府枚方市香里ケ丘3丁目11−29","26,192.00","2.62","34.79140629","135.6522528","○","","","","1","","","","","","","","","1","","","","1","1","27","1","1","","48","0","0","0","0","0","0","48","エドヒガン・ハクサンオオデマリ","","","","573-0084","オオサカフ－ヒラカタシ－コウリガオカ"
"074","香里ヶ丘西公園","コウリガオカニシコウエン","大阪府枚方市香里ケ丘8丁目18−2","9,495.39","0.95","34.79306705","135.6463783","","1","","1","1","","","1","","","","","","1","1","","","","1","9","","","","20","0","0","0","0","0","0","20","","","","","573-0084","オオサカフ－ヒラカタシ－コウリガオカ"
"075","香里ヶ丘東公園","コウリガオカヒガシコウエン","大阪府枚方市香里ケ丘12丁目18−9","11,408.22","1.14","34.79070928","135.6572884","○","","","","","","","1","","","","","","","","","","","","4","","","","16","0","0","0","0","0","0","16","コウヨウ・ハクサンオオデマリ","","","","573-0084","オオサカフ－ヒラカタシ－コウリガオカ"
"076","香里の森公園","コウリノモリコウエン","大阪府枚方市香里園山之手町52−2","5,190.81","0.52","34.7890981","135.6375818","","1","","","1","","1","","","","","","","1","","","","1","2","8","2","","","25","0","0","0","0","0","0","25","","","","","573-0087","オオサカフ－ヒラカタシ－コウリエンヤマノテチョウ"
"077","香里ヒルズ北公園","コウリヒルズキタコウエン","大阪府枚方市東中振2丁目1−32","1,257.67","0.13","34.79756719","135.636241","","","","","1","","","","","","","1","","1","","","","","1","4","","","","","","","","","","","","","","","","573-0093","オオサカフ－ヒラカタシ－ヒガシナカブリ"
"078","香里ヒルズ中央公園","コウリヒルズチュウオウコウエン","大阪府枚方市東中振2丁目28−3","2,068.61","0.21","34.79466593","135.6402977","","","","1","1","","","1","","","","","","1","","","","","1","6","1","","","","","","","","","","","","","","","573-0093","オオサカフ－ヒラカタシ－ヒガシナカブリ"
"079","五常公園","ゴジョウコウエン","大阪府枚方市香里ケ丘6丁目3−15","3,097.60","0.31","34.79855533","135.6464949","","","","","1","","","1","","","","","1","1","","","","","1","5","","","","9","0","0","0","0","0","0","9","","","","","573-0084","オオサカフ－ヒラカタシ－コウリガオカ"
"080","御殿山公園","ゴテンヤマコウエン","大阪府枚方市渚本町12−60","702.70","0.07","34.82943287","135.6565378","","","","1","1","","","","","","","","","1","","","","","1","3","","","","10","0","0","0","0","0","0","10","","","","","573-1181","オオサカフ－ヒラカタシ－ナギサホンマチ"
"081","阪今池公園","サカイマイケコウエン","大阪府枚方市黄金野1丁目3−51","18,854.47","1.89","34.83978437","135.6646785","○","","","","1","","","","","","","","1","1","","","","1","1","16","","","","15","0","0","0","0","0","0","15","","","","","573-1145","オオサカフ－ヒラカタシ－コガネノ"
"082","桜丘公園","サクラオカコウエン","大阪府枚方市桜丘町45−2","635.53","0.06","34.8057919","135.6682901","","","","","1","","","","","","","","","1","","","","","1","3","1","","","3","0","0","0","0","4","0","7","","","","","573-0018","オオサカフ－ヒラカタシ－サクラガオカチョウ"
"083","桜公園","サクラコウエン","大阪府枚方市宮之下町24−1","7,038.89","0.70","34.79434208","135.6536442","","","","","","","1","","","","","1","1","1","","","","","1","10","4","","","56","0","0","0","0","0","0","56","","","","","573-0046","オオサカフ－ヒラカタシ－ミヤノシタチョウ"
"084","笹谷公園","ササダニコウエン","大阪府枚方市長尾家具町2丁目14","6,360.82","0.64","34.84139938","135.7083187","","1","","","1","","","","","","1","1","","1","","","","1","1","7","","","","7","0","0","0","0","4","0","11","","","","","573-0102","オオサカフ－ヒラカタシ－ナガオカグマチ"
"085","蹉跎山公園","サダヤマコウエン","大阪府枚方市香里ケ丘8丁目27−7","4,137.83","0.41","34.79091432","135.6438264","","","","1","1","","","1","","","","1","","1","","","","","1","10","","","","5","0","0","2","0","0","0","7","","","","","573-0084","オオサカフ－ヒラカタシ－コウリガオカ"
"086","さつき丘北公園","サツキガオカキタコウエン","大阪府枚方市山之上西町6−34","3,056.78","0.31","34.80355485","135.6479253","","","","1","1","","","","","","1","1","","1","","","","","1","7","","","","22","0","0","0","0","0","0","22","ヤエザクラ","","","","573-0048","オオサカフ－ヒラカタシ－ヤマノウエニシマチ"
