"id","name","y","x","address","area","area_ha","is_evacuation_area","ブランコ_2","ブランコ_3","ブランコ_4","すべり台","鉄棒_1","鉄棒_2","鉄棒_3","鉄棒_4","鉄棒_5","シーソー","ジャングルジム","複合遊具","砂場","ラダー","健康遊具","プレイスカルプチャー(遊戯彫刻)","便所","水飲場","ベンチ","四阿","有料駐車場","無料駐車場","ソメイヨシノ","オオシマザクラ","カンヒザクラ","シダレザクラ","カワズザクラ","ヤマザクラ","桜_その他","桜_合計","桜_その他_品種","is_nice_scenery"
"103","高塚町北公園","34.80736327","135.6427766","大阪府枚方市高塚町21−27","856.76","0.086","","","","","","","","","","","","","","","","","","","1","4","","","","8","0","0","0","0","0","0","8","",""
"104","高塚町中央公園","34.80652272","135.643109","大阪府枚方市高塚町21−20","896.85","0.09","","1","","","","","","","","","","","1","","","","","","1","3","","","","0","0","0","0","0","6","0","6","",""
"105","津田駅前東公園","34.80028181","135.6994434","大阪府枚方市津田駅前2丁目25−5","2821.82","0.282","","","","","","","","","","","","","1","","","6","","","1","11","1","","","0","0","0","1","0","2","2","5","エドヒガン",""
"106","津田南町西公園","34.80024883","135.7021834","大阪府枚方市津田南町1丁目21−10","622.09","0.062","","1","","","1","","","","","","","","","1","","","","","1","4","","","","0","0","0","0","0","0","2","2","エドヒガン",""
"107","津田南町東公園","34.7998359","135.7054686","大阪府枚方市津田南町1丁目36−3","556","0.056","","1","","","1","","1","","","","","","","1","","","1","","1","5","","","","5","0","0","0","0","0","0","5","",""
"108","出口北公園","34.80322447","135.6209232","大阪府枚方市出口2丁目27−10","1391.98","0.139","","","","1","","","","","","","","1","1","1","","","1","","1","5","","","","2","0","0","0","0","0","0","2","",""
"109","出口西公園","34.80217933","135.6208361","大阪府枚方市出口6丁目1","983.58","0.098","","","","1","1","","","3","","","","","","1","","","","","1","3","","","","17","0","0","0","0","0","0","17","",""
"110","出口ふれあい公園","34.80307135","135.6267714","大阪府枚方市出口2丁目1−16","6461.47","0.646","","1","","","1","","","1","","","","","","1","2","","","1","2","24","1","","","14","2","0","0","0","0","2","18","ヤエザクラ",""
"111","天満公園","34.86665552","135.6913309","大阪府枚方市楠葉丘2丁目13","6714.47","0.671","","","","1","1","1","1","","","","","","","","","","2","1","1","6","","","","8","0","0","0","0","0","1","9","ヤエザクラ",""
"112","東部公園","34.80132991","135.745787","大阪府枚方市尊延寺（大字）2987","34000","3.4","","","","","","","","","","","","","2","","","7","","2","","","3","1","","0","0","0","0","0","0","65","65","","○"
"113","堂ノ背公園","34.80974314","135.7196995","大阪府枚方市杉1丁目31−1","6193.81","0.619","","1","","","1","","1","","","","","","","1","","","","1","1","5","1","","","21","0","0","5","0","0","0","26","","○"
"114","堂山公園","34.81767611","135.6704285","大阪府枚方市堂山1丁目22−4","16876.91","1.688","○","","","1","1","","","1","","","","","","1","","","3","1","1","32","3","","","30","0","0","0","0","0","0","30","",""
"115","長尾大池公園","34.82556246","135.7162333","大阪府枚方市長尾東町1丁目33−5","589.69","0.059","","","","1","1","","","","","","","","","","","","","","1","2","","","","3","0","0","0","0","0","0","3","",""
"116","長尾台大谷公園","34.81681039","135.7171059","大阪府枚方市長尾台3丁目28−26","3010.26","0.301","","","","1","1","","","","","","","","","1","","","","","","5","","","","1","0","0","0","0","0","2","3","ヤエザクラ",""
"117","長尾台亀谷公園","34.82055121","135.7205302","大阪府枚方市長尾台4丁目12−5","1516.05","0.152","","","","","","","","","","","","","","","","","","","","","","","","2","0","0","0","0","1","0","3","",""
"118","長尾台北公園","34.82117389","135.7168685","大阪府枚方市長尾台1丁目6−17","1031.69","0.103","","","","1","1","","","","1","","","","","1","","","","","1","2","","","","13","0","0","0","0","3","0","16","",""
"119","長尾台東公園","34.81940465","135.7182962","大阪府枚方市長尾台2丁目22−7","1044.52","0.104","","","","1","1","","","1","","","","","","1","","","","","1","3","","","","0","0","0","0","0","0","4","4","ヤエザクラ",""
"120","長尾台南公園","34.81842135","135.7166268","大阪府枚方市長尾台2丁目6−3","1045.85","0.105","","","","1","1","","1","","","","","1","","1","","","","","1","7","","","","4","0","0","0","0","3","0","7","",""
"121","長尾谷町公園","34.82420175","135.7027031","大阪府枚方市長尾谷町3丁目20−8","1130.56","0.113","","1","","","1","","1","","","","1","","","1","","","","","1","1","","","","16","0","0","0","0","0","0","16","",""
"122","長尾西町公園","34.83162137","135.6995521","大阪府枚方市長尾西町1丁目4−39","714.92","0.071","","1","","","1","","","","","","1","","","1","","","","","1","4","","","","","","","","","","","","",""
"123","長尾東公園","34.82541546","135.7227147","大阪府枚方市長尾東町3丁目18−17","524.41","0.052","","","","","","","","","","","","","1","","","","","","1","5","1","","","","","","","","","","","",""
"124","長尾元町公園","34.83019936","135.706721","大阪府枚方市長尾元町3丁目57−32","1640.54","0.164","","","","1","1","","","1","","","1","","","1","","2","3","","1","7","","","","","","","","","","","","",""
"125","中の池公園","34.8476097","135.6902535","大阪府枚方市東山2丁目45","40071.87","4.007","○","","","1","1","","","","","","1","","","1","","","","1","1","7","1","1","","27","6","1","0","0","0","3","37","オオヤマザクラ",""
"126","中の谷公園","34.85045399","135.6901284","大阪府枚方市東山1丁目41−6","2449.28","0.245","","","","1","1","","","","","","","1","","1","","","","","1","7","","","","","","","","","","","","",""
"127","中振中央公園","34.79424459","135.6353977","大阪府枚方市南中振1丁目41−2","1200.00","0.12","","1","","","1","","1","","","","","","","1","","","","","","2","","","","11","0","0","0","0","0","1","12","",""
"128","中宮公園","34.81915085","135.6657927","大阪府枚方市中宮東之町39−11","2122.95","0.212","","2","","","1","","","","","","","","","1","","","","","1","6","","","","0","0","0","0","0","0","2","2","サトザクラ",""
